ganz,y,whole or all the
groß,y,big or large or great
gut,y,good
neu,y,new
erste (r or s),,first
lang,y,long
deutsch,y,German
klein,y,small or little
alt,y,old
hoch,y,high or tall
einfach,y,simple or easy
letzte (r or s),,last
gleich,y,same or right away or just
möglich,y,possible
eigen,,own
schön,y,beautiful or pleasant or good
spät,y,late
wichtig,y,important
weitere (r or s),,additional
genau,y,exactly
jung,y,young
kurz,y,short
stark,y,strong
richtig,y,correct
verschieden,y,different or diverse
bestimmt,y,special or certain
besser,,better
schnell,y,fast
sicher,,safe or secure or certain
nächste (r or s),,next
politisch,,political
klar,,clear
schwer,y,difficult or heavy
einzeln,,individual
bekannt,,well-known
leicht,y,light or easy
rund,,round
frei,y,free
früh,y,early
unterschiedlich,,different or variable
schlecht,y,bad
deutlich,,clear
allgemein,,general
einzig,,only or single
gemeinsam,y,common or mutual
nahe or nah,,near or close
voll,y,full
direkt,y,direct or straight
international,y,international
sozial,y,social
beste (r ors),,best
rot,y,red
offen,y,open
meiste,,most
besondere (r ors),,special
gewiss,y,certain
öffentlich,,public
halb,y,half
wahrscheinlich,,probably
europäisch,,European
wesentlich,,essential or fundamental
ähnlich,y,similar
häufig,y,frequent
schwarz,y,black
völlig,y,complete
gering,,low or small
schwierig,y,difficult
praktisch,y,practical
persönlich,y,personal
–jährig,,years old
modern,,modern
tief,y,deep
tatsächlich,,real or actual
zusätzlich,,additional
wirtschaftlich,,economic or financial
interessant,y,interesting
relativ,y,relative
gleichzeitig,,simultaneous
grün,y,green
weiß,y,white
gesamt,y,whole or entire
speziell,y,special or specific
entscheidend,,decisive
eng,,narrow or close
technisch,,technical
langsam,y,slow
ständig,,constant
notwendig,y,necessary
rein,,pure or clear or clean
englisch,,English
wissenschaftlich,y,scientific or scholarly
falsch,y,false or wrong
fremd,y,foreign or strange
selten,,rare
normal,,normal
wahr,y,true
privat,y,private
tot,,dead
fest,y,firm or solid
positiv,y,positive
zentral,,central
fertig,,finished or ready
grundsätzlich,,fundamental
breit,y,wide or broad
hart,y,hard
vorhanden,y,available or existing
innere,,internal
künftig,,future
historisch,y,historical
knapp,,scarce or slim
aktuell,y,current
übrig,,remaining or left
schlimm,y,bad or serious
schlimmer,,worse
lieb,y,dear or kind
dunkel,y,dark
offenbar,,obvious
rechte,,right
zahlreich,y,numerous
erfolgreich,y,successful
konkret,y,concrete
weltweit,,world-wide
geboren,,born
menschlich,,human
regelmäßig,y,regular
aktiv,y,active
staatlich,,state or government or national
ehemalig,,former
kalt,y,cold
jeweilig,y,particular or respective
erforderlich,,require or necessary
heutig,,present-day or today's
kulturell,y,cultural
unabhängig,,independent
ruhig,y,quiet or calm
unmittelbar,,immediate or direct
bewusst,,conscious
finanziell,,financial
klassisch,,classical
heiß,,hot
echt,,genuine or real
teuer,,expensive
nötig,,necessary
toll,,great or terrific
erneut,,again or renewed
täglich,,daily
üblich,,usual
absolut,,absolute
gesellschaftlich,,social
individuell,,individual
leer,,empty
national,,national
ungefähr,,approximately
