"","Article","Noun","Translation"
"1101","die","Ausführung","implementation, type"
"1102","der","Besitzer","owner"
"1103","das","Center","center"
"1104","der","Eingang","entrance"
"1105","die","Erscheinung","phenomenon, appearance"
"1106","die","Ferien","holiday, vacation"
"1107","der","Flug","flight"
"1108","die","Fragestellung","problem"
"1109","die","Freundschaft","friendship"
"1110","das","Frühstück","breakfast"
"1111","das","Gehalt","salary"
"1112","der","Gehalt","meaning, contents"
"1113","das","Geheimnis","secret"
"1114","das","Geräusch","sound, noise"
"1115","der","Geschmack","taste"
"1116","das","Gold","gold"
"1117","der","Hafen","harbor"
"1118","der","Hut","hat"
"1119","die","Hut","care"
"1120","die","Interpretation","interpretation"
"1121","die","Klage","complaint, lawsuit"
"1122","die","Klinik","clinic, hospital"
"1123","die","Lehrerin","teacher"
"1124","die","Marke","brand, stamp"
"1125","das","Medikament","medicine, drug"
"1126","die","Miete","rent"
"1127","das","Öl","oil"
"1128","der","Pass","pass, passport"
"1129","die","Phantasie","imagination, fantasy"
"1130","die","Prognose","prognosis"
"1131","das","Protein","protein"
"1132","das","Protokoll","minutes, record"
"1133","der","Schreck","fright, shock"
"1134","die","Serie","series"
"1135","der","Tee","tea"
"1136","der","Turm","tower"
"1137","die","Überzeugung","conviction"
"1138","die","Vorgabe","guideline"
"1139","das/die","Weihnachten","Christmas"
"1140","die","Wende","change"
"1141","die","Abhängigkeit","dependence"
"1142","der","Arbeitsmarkt","labor market"
"1143","der","Ärger","annoyance, trouble"
"1144","der","Austausch","exchange"
"1145","die","Betreuung","care"
"1146","die","Bombe","bomb"
"1147","der","Dialog","dialogue"
"1148","die/das","E-Mail","e-mail"
"1149","die","Entschuldigung","apology, excuse"
"1150","die","Erhöhung","increase"
"1151","das","Gas","gas"
"1152","das","Gen","gene"
"1153","die","Hitze","heat"
"1154","die","Kindheit","childhood"
"1155","das","Klavier","piano"
"1156","die","Konzentration","concentration"
"1157","der","Leib","body"
"1158","der","Maler","painter"
"1159","die","Menschheit","humanity"
"1160","die","Milch","milk"
"1161","der","Mord","murder"
"1162","der","Pilot","pilot"
"1163","das","Resultat","result"
"1164","der","Riese","giant"
"1165","der","Stock","stick, floor"
"1166","die","Strafe","punishment"
"1167","der","Übersetzer","translator"
"1168","das","Ufer","shore, bank"
"1169","die","Umfrage","survey"
"1170","das","Baby","baby"
"1171","das","City","city center"
"1172","die","Differenz","difference"
"1173","die","Dunkelheit","darkness"
"1174","das","Dutzend","dozen"
"1175","das","Eis","ice, ice cream"
"1176","der","Empfang","reception"
"1177","der","Empfänger","recipient"
"1178","die","Ernährung","food, diet"
"1179","der","Gesichtspunkt","point of view"
"1180","die","Großmutter","grandmother"
"1181","die","Herkunft","origin"
"1182","die","Hochzeit","wedding"
"1183","der","Hunger","hunger"
"1184","die","Konjunktur","state of the economy"
"1185","der","Konkurrent","competitor"
"1186","die","Last","load, burden"
"1187","das","Lebensjahr","year of one's life"
"1188","das","Medium","medium"
"1189","die","Mischung","mixture"
"1190","das","Muster","pattern, model"
"1191","der","Nachfolger","successor"
"1192","die","Note","note, grade"
"1193","der","Onkel","uncle"
"1194","das","Potenzial","potential"
"1195","der","Protest","protest"
"1196","der","Reiz","stimulus, appeal"
"1197","der","Rohstoff","raw material"
"1198","der","Sachverhalt","facts"
"1199","der","Schuss","shot"
"1200","die","Sicherung","protection, fuse"
