"1401","die","Allianz","alliance"
"1402","die","Armut","poverty"
"1403","der","Ausgleich","balancing, compensation, change"
"1404","die","Begeisterung","enthusiasm"
"1405","der","Bezirk","district"
"1406","die","Diagnose","diagnosis"
"1407","das","Dunkel","darkness"
"1408","der","Durchmesser","diameter"
"1409","die","Einladung","invitation"
"1410","die","Empfehlung","recommendation"
"1411","die","Eröffnung","opening"
"1412","der","Felsen","rock"
"1413","die","Flüssigkeit","liquid"
"1414","das","Fräulein","young lady, miss"
"1415","der","Friedhof","cemetery"
"1416","die","Front","front"
"1417","die","Fülle","abundance"
"1418","das","Gebirge","mountains"
"1419","das","Geschäftsjahr","financial year"
"1420","das","Gras","grass"
"1421","die","Großstadt","city, large town"
"1422","der","Hang","slope, inclination"
"1423","der","Hügel","hill"
"1424","der","Ingenieur","engineer"
"1425","der","Kongress","congress, convention"
"1426","der","Muskel","muscle"
"1427","der","Nachweis","proof, evidence, certificate"
"1428","die","Orientierung","orientation"
"1429","der","Personenkraftwagen","car, auto"
"1430","der","Rhythmus","rhythm"
"1431","die","Rücksicht","consideration"
"1432","der","Senat","senate"
"1433","die","Steuerung","control, steering"
"1434","der","Stolz","pride"
"1435","die","Teilnahme","participation"
"1436","das","Universum","universe"
"1437","die","Unterhaltung","entertainment, conversation"
"1438","die","Unterlagen","documents"
"1439","die","Vereinigung","organization, association, unification"
"1440","die","Vertretung","replacement, substitute"
"1441","die","Volkshochschule","adult education center"
"1442","die","Vorsicht","caution"
"1443","die","Wahrscheinlichkeit","probability"
"1444","die","Wange","cheek"
"1445","das","Werkzeug","tool"
"1446","die","Zeichnung","drawing"
"1447","die","Zunahme","increase"
"1448","die","Zwiebel","onion, bulb"
"1449","die","Ablehnung","refusal, rejection"
"1450","die","Abstimmung","vote, coordination"
"1451","die","Anordnung","order"
"1452","die","Anregung","stimulus, idea"
"1453","der","Aufsatz","essay"
"1454","der","Backofen","oven"
"1455","die","Bakterie","bacterium"
"1456","der","Befund","results"
"1457","die","Bemühung","effort"
"1458","der","Beobachter","observer"
"1459","der","Berater","advisor, consultant"
"1460","der","Betrachter","observer"
"1461","das","Betriebssystem","operating system"
"1462","der","Bildschirm","screen, monitor"
"1463","die","Blüte","blossom"
"1464","die","Brille","glasses"
"1465","die","Datenverarbeitung","data processing"
"1466","der","Eigentümer","owner"
"1467","die","Eintragung","entry, registration"
"1468","das","Ensemble","ensemble"
"1469","die","Enttäuschung","disappointment"
"1470","die","Faust","fist"
"1471","das","Festival","festival"
"1472","die","Galerie","gallery"
"1473","das","Gemüse","vegetables"
"1474","die","Genehmigung","approval, permit, permission"
"1475","der","Großvater","grandfather"
"1476","die","Grundschule","primary school"
"1477","der","Hass","hatred"
"1478","die","Höhle","cave"
"1479","die","Innenstadt","town center, downtown"
"1480","das","Kloster","monastery, convent"
"1481","die","Kohle","coal"
"1482","der","Konsument","consumer"
"1483","der","Lärm","noise"
"1484","der","Liter","liter"
"1485","das","Lokal","pub, bar"
"1486","die","Malerei","painting"
"1487","der","Maßstab","scale, yardstick, standard"
"1488","die","Materie","matter"
"1489","die","Münze","coin"
"1490","das","Netzwerk","network"
"1491","das","Praktikum","internship"
"1492","der","Rückgang","fall, decline"
"1493","der","Sack","sack"
"1494","der","Schuldner","debtor"
"1495","die","Sportart","type of sport, discipline"
"1496","der","Stamm","trunk, stem, tribe"
"1497","der","Streifen","stripe, strip"
"1498","die","Tasse","cup"
"1499","der","Teppich","carpet"
"1500","der","Teufel","devil"
