"","Article","Noun","Translation"
"401","das","Feld","field"
"402","die","Hochschule","college, university"
"403","das","Hotel","hotel"
"404","das","Publikum","public, audience"
"405","die","Studie","study"
"406","der/die","Vorsitzende","chairperson"
"407","die","Analyse","analysis"
"408","die","Spur","track, lane"
"409","der","Berg","hill, mountain"
"410","die","Erkenntnis","realization, discovery"
"411","der","Faktor","factor"
"412","der","Fehler","mistake, error"
"413","die","Freiheit","freedom"
"414","die","Freizeit","spare time"
"415","die","Gegend","area, region"
"416","die","Kritik","criticism, review"
"417","der","Partner","partner"
"418","der","See","lake"
"419","die","See","sea"
"420","der","Typ","type"
"421","das","Ereignis","event"
"422","die","Kontrolle","inspection"
"423","das","Objekt","object"
"424","das","Opfer","sacrifice, victim"
"425","der","Sprecher","speaker"
"426","der","Arbeitsplatz","workplace, job"
"427","die","Aufnahme","reception, recording, snapshot"
"428","die","Fähigkeit","ability, capability"
"429","die","Karte","card, ticket, menu"
"430","der","Urlaub","vacation, holiday"
"431","die","Verantwortung","responsibility"
"432","die","Wahrheit","truth"
"433","das","Gebäude","building"
"434","der","Gesellschafter","associate, shareholder"
"435","das","Jahrzehnt","decade"
"436","der","Norden/Nord","north"
"437","das","Ohr","ear"
"438","die","Prüfung","examination, test"
"439","die","Regelung","regulation, settlement"
"440","das","Schiff","ship"
"441","die","Ausstellung","exhibition"
"442","der","Bezug","reference, cover"
"443","die","Bitte","request"
"444","die","Hoffnung","hope"
"445","der","Band","volume, tome"
"446","die","Band","band (musical)"
"447","das","Band","ribbon, tape"
"448","der","Bericht","report"
"449","die","Einstellung","attitude, employment"
"450","das","Gericht","court, dish"
"451","der","Gewinn","profit"
"452","der","König","king"
"453","der","Sieg","victory"
"454","die","Tat","deed"
"455","der","Traum","dream"
"456","die","Union","union"
"457","der","Besucher","visitor"
"458","der","Bund","association, alliance"
"459","der","Direktor","director"
"460","die","Geographie","geography"
"461","der","Hintergrund","background"
"462","die","Qualität","quality"
"463","der","Rand","edge"
"464","die","Vergangenheit","past"
"465","der","Abschnitt","portion, section"
"466","der","Bauer","farmer"
"467","die","Ehe","marriage"
"468","die","Ursache","cause"
"469","der","Verlust","loss"
"470","der","Winter","winter"
"471","der","Zuschauer","spectator"
"472","die","Anzahl","number"
"473","die","Insel","island"
"474","das","Instrument","instrument"
"475","die","Nachricht","news, message"
"476","die","Pflanzen","plant"
"477","die","Störung","disturbance, interruption"
"478","der","Vertreter","representative"
"479","der","Vorschlag","suggestion, proposal"
"480","der","Zentimeter","centimeter"
"481","der","Abstand","distance"
"482","die","Bildung","education"
"483","die","Eigenschaft","quality"
"484","die","Generation","generation"
"485","der","Leiter","leader"
"486","die","Leiter","ladder"
"487","der","Abschluss","end, conclusion"
"488","das","Blatt","sheet, leaf"
"489","der","Geist","mind, spirit"
"490","das","Interview","interview"
"491","das","Semester","semester"
"492","der","Stand","stand, stage"
"493","die","Tradition","tradition"
"494","die","Anlage","sport complex, investment, attachment"
"495","die","Behörde","department, authorities"
"496","die","Bühne","stage"
"497","die","Dame","lady"
"498","das","Element","element"
"499","die","Gelegenheit","opportunity"
"500","der","Hof","courtyard, yard"
